hh_ids,edu_hh_child613inschool,edu_hh_child1417inschool,edu_hh_girls613inschool,edu_hh_girls1417inschool,edu_hh_boys613inschool,edu_hh_boys1417inschool,edu_hh_headattain_yrs
"KELDK01",1,,1,,,,8
"KELDK02",,1,,1,,,8
"KELDK08",0,,,,0,,5
"KELDK09",1,,1,,,,10
"KELDK10",,,,,,,10
"KELDK12",1,,,,1,,6
"KELDK13",.5,1,1,,0,1,7
"KELDK14",,,,,,,7
"KELDK15",1,,,,1,,6
"KELDK16",1,,1,,,,6
"KELDK17",1,1,1,1,1,1,8
"KELDK18",,,,,,,11
"KELDK19",1,1,1,1,1,,8
"KELDK20",.6666667,1,0,1,1,,7
"KELDK21",,,,,,,
"KELDK22",.6666667,,,,.6666667,,0
"KELDK23",,,,,,,5
"KELDK24",0,.5,0,.5,0,,8
"KELDK25",,,,,,,4
"KELDK27",0,,,,0,,8
"KELDK28",0,1,0,1,,,12
"KELDK29",1,,1,,,,0
"KELDK30",1,1,1,,1,1,4
"KELDK31",.6666667,,.6666667,,,,8
"KELDK32",.6666667,,0,,1,,5
"KELDK33",1,1,1,1,1,,0
"KELDK36",1,1,,1,1,1,8
"KELDK37",1,1,,,1,1,6
"KELDK38",,,,,,,13
"KELDK40",,,,,,,12
"KELDL01",,1,,1,,,12
"KELDL02",,,,,,,12
"KELDL05",1,,1,,,,10
"KELDL09",,,,,,,6
"KELDL10",0,,,,0,,8
"KELDL13",1,,1,,,,7
"KELDL15",1,1,,1,1,,12
"KELDS01",0,1,,,0,1,
"KELDS02",1,1,,,1,1,7
"KELDS03",1,,1,,1,,5
"KELDS05",.75,,.5,,1,,3
"KELDS06",.6666667,1,1,,.5,1,8
"KELDS07",1,,,,1,,8
"KELDS09",1,1,1,,,1,11
"KELDS10",1,1,1,,,1,0
"KELDS11",1,,1,,,,12
"KELDS12",1,,,,1,,8
"KELDS14",,,,,,,10
"KELDS15",1,,1,,1,,12
"KELDS16",1,1,1,,1,1,8
"KELDS17",1,1,1,1,,,9
"KELDS18",1,1,,1,1,,10
"KELDS19",1,1,1,1,,,12
"KELDS20",1,,1,,,,11
"KELDS23",,1,,1,,,8
"KELDS24",1,1,1,1,,,8
"KELDS26",1,1,,,1,1,12
"KELDS27",,,,,,,8
"KELDS28",,0,,0,,,5
"KMAKE01",,1,,1,,,6
"KMAKE03",,,,,,,12
"KMAKE05",.75,,.5,,1,,11
"KMAKE06",1,,,,1,,12
"KMAKE07",,1,,,,1,7
"KMAKE08",1,,,,1,,3
"KMAKE09",,,,,,,10
"KMAKE10",1,1,1,,,1,10
"KMAKE11",1,1,,,1,1,8
"KMAKE12",1,1,,,1,1,10
"KMAKE13",1,1,1,,1,1,12
"KMAKE14",,,,,,,0
"KMAKE15",1,,1,,,,13
"KMAKE16",1,,,,1,,12
"KMAKE17",1,1,1,1,,,8
"KMAKE18",,,,,,,10
"KMAKE20",,1,,1,,,3
"KMAKE21",,1,,,,1,8
"KMAKE23",1,1,1,1,,1,5
"KMAKE25",1,,,,1,,8
"KMAKE27",1,,,,1,,8
"KMAKE28",1,,1,,1,,10
"KMAKE29",1,1,1,1,1,1,8
"KMAKE30",1,1,1,1,1,,12
"KMAKE32",.6666667,1,0,1,1,,8
"KMAKE33",,,,,,,5
"KMAKE34",,1,,1,,,12
"KMAKE35",.5,1,.5,1,,,7
"KMAKE36",1,1,,1,1,,7
"KMAKE37",,,,,,,12
"KMAKL01",1,,1,,,,9
"KMAKL02",.6666667,,1,,.5,,8
"KMAKL05",1,,,,1,,8
"KMAKL06",1,1,1,1,,,9
"KMAKL07",,,,,,,0
"KMAKL08",1,,1,,,,7
"KMAKL09",1,,1,,1,,5
"KMAKL10",.6666667,1,.5,,1,1,8
"KMAKL11",,1,,,,1,3
"KMAKL12",1,1,1,,,1,12
"KMAKL13",,1,,,,1,7
"KMAKL15",1,1,1,1,,,10
"KMAKL17",1,1,1,1,1,,12
"KMAKL18",1,1,1,1,1,,8
"KMAKL19",1,,,,1,,4
"KMAKL21",,,,,,,7
"KMAKL22",.6,1,0,1,.75,1,9
"KMAKL23",1,1,1,,1,1,12
"KMAKL24",1,,,,1,,12
"KMAKL25",1,1,1,,1,1,7
"KMAKL27",.5,1,,1,.5,,7
"KMAKL28",.5,1,0,1,1,,6
"KMAKL29",1,1,,,1,1,5
"KMAKL32",1,,1,,1,,2
"KMAKL33",.5,1,1,,0,1,5
"KMAKL34",1,1,1,1,,,10
"KMAKL36",1,.6666667,1,.6666667,1,,4
"KMAKL37",,1,,,,1,8
"KMAKL38",1,1,1,,,1,8
"KMAKL39",.6666667,1,,,.6666667,1,12
"KMAKL40",.75,,1,,.6666667,,7
"KMOMB01",,,,,,,12
"KMOMB02",1,,,,1,,13
"KMOMB03",1,1,1,1,,1,4
"KMOMB04",1,,,,1,,11
"KMOMB05",1,1,1,,,1,9
"KMOMB06",,1,,1,,1,12
"KMOMB07",,,,,,,12
"KMOMB08",,,,,,,8
"KMOMB10",1,,,,1,,8
"KMOMB14",1,1,,,1,1,7
"KMOMB16",1,1,1,1,1,1,7
"KMOMB17",1,1,,,1,1,12
"KMOMB18",1,1,1,,,1,8
"KMOMB20",,,,,,,3
"KMOMB21",,,,,,,12
"KMOMB22",1,0,1,0,1,,6
"KMOMB23",1,1,,1,1,,7
"KMOMK01",,1,,1,,,2
"KMOMK03",,1,,1,,1,10
"KMOMK04",,,,,,,12
"KMOMK06",.6666667,,.6666667,,,,9
"KMOMK08",.6666667,1,.5,1,.75,,4
"KMOMK09",0,0,,,0,0,12
"KMOMK13",1,1,1,,,1,7
"KMOMK14",1,1,1,1,,1,12
"KMOMK15",1,,,,1,,12
"KMOMK16",1,1,,1,1,,11
"KMOMK17",1,,1,,1,,7
"KMOMK19",1,1,,1,1,,6
"KMOMM01",,,,,,,12
"KMOMM03",1,,1,,,,8
"KMOMM04",1,,1,,,,12
"KMOMM06",,1,,1,,,10
"KMOMM07",1,,1,,1,,8
"KMOMM10",1,1,1,,,1,8
"KMOMM11",,,,,,,8
"KMOMM12",,,,,,,11
"KMOMM13",.6666667,1,.6666667,,,1,2
"KMOMM15",0,,0,,,,8
"KMOMM16",0,1,,,0,1,0
"KMOMM18",1,1,,,1,1,12
"KMOMM25",,,,,,,11
"KMOMT01",1,.6666667,1,0,1,1,10
"KMOMT02",,1,,1,,1,0
"KMOMT03",1,1,,,1,1,13
"KMOMT06",1,1,,,1,1,12
"KMOMT12",1,,1,,,,
"KMOMT15",1,1,1,1,1,,7
"KMOMT16",.6666667,1,1,1,0,,2
"KMOMT18",1,1,1,1,1,,12
"KMOMT19",,,,,,,8
"KMOMT21",.6666667,,1,,.5,,3
"KMOMT22",.6666667,1,1,,.5,1,8
"KMOMT25",,,,,,,13
"KMOMT28",.5,,0,,1,,12
"KMOMT29",.6666667,1,.5,1,1,,0
"KMOMT31",,1,,1,,,
"KMOMT32",1,1,1,,,1,13
"KMOMT33",1,,1,,1,,10
"KNBOK01",1,1,,,1,1,12
"KNBOK02",1,,1,,1,,8
"KNBOK03",1,1,1,1,1,,8
"KNBOK04",1,1,,1,1,,8
"KNBOK05",1,1,1,1,,1,11
"KNBOK06",,,,,,,13
"KNBOK08",,,,,,,12
"KNBOK11",,,,,,,12
"KNBOK14",1,1,1,,,1,13
"KNBOK15",1,1,1,,,1,7
"KNBOK16",,,,,,,8
"KNBOK17",,,,,,,8
"KNBOK18",1,,,,1,,10
"KNBOK19",1,1,1,,,1,2
"KNBOK20",,0,,0,,,15
"KNBOK22",,1,,1,,1,13
"KNBOK23",,,,,,,12
"KNBOK25",0,1,,1,0,,8
"KNBOK26",,,,,,,13
"KNBOK27",1,0,,,1,0,3
"KNBOK29",,,,,,,2
"KNBOK31",1,1,1,,1,1,12
"KNBOK32",1,,1,,1,,7
"KNBOK34",1,1,1,1,,,8
"KNBOK35",,,,,,,15
"KNBOK36",,,,,,,7
"KNBOK38",,,,,,,12
"KNBOK39",,,,,,,12
"KNBOK40",,,,,,,10
"KNBOK41",,,,,,,7
"KNBOK42",,,,,,,12
"KNBOM02",,,,,,,13
"KNBOM03",.5,,0,,1,,8
"KNBOM04",1,1,,1,1,,12
"KNBOM11",,0,,0,,,10
"KNBOM13",1,1,1,1,,,8
"KNBOM14",1,,1,,,,12
"KNBOM15",,,,,,,10
"KNBOM16",1,,1,,,,4
"KNBOM19",,,,,,,8
"KNBOM22",,,,,,,8
"KNBOM25",,,,,,,7
"KNBOM26",.6666667,1,1,1,0,1,7
"KNBOM31",,,,,,,8
"KNBOM32",,1,,1,,1,10
"KNBOM33",,1,,,,1,8
"KNBOM36",0,1,,1,0,,8
"KNBOM37",1,1,1,1,,,10
"KNBOM38",1,,,,1,,12
"KNBOM39",,,,,,,12
"KNBOM40",1,1,1,1,,,12
"KNBOM42",,1,,1,,,4
"KNBOM50",1,1,,1,1,,12
"KVIHC02",1,1,,,1,1,8
"KVIHC03",.6666667,1,1,1,0,,5
"KVIHC04",1,1,1,1,1,,8
"KVIHC05",1,1,1,1,1,,9
"KVIHC06",1,,1,,,,12
"KVIHC08",1,,,,1,,6
"KVIHC09",.6666667,,1,,.5,,1
"KVIHC10",1,1,,1,1,,4
"KVIHC11",1,,1,,,,6
"KVIHC12",.5,,,,.5,,5
"KVIHC13",.75,1,.5,1,1,,11
"KVIHC14",1,,1,,1,,13
"KVIHC15",1,,1,,,,4
"KVIHC16",1,1,1,1,,1,8
"KVIHC17",1,1,1,1,,1,10
"KVIHC18",1,,1,,,,12
"KVIHC19",1,,1,,,,4
"KVIHC20",1,1,1,1,,,12
"KVIHC21",0,,,,0,,11
"KVIHC22",1,1,1,1,,,7
"KVIHC23",,,,,,,12
"KVIHC25",,1,,,,1,5
"KVIHC26",1,1,,,1,1,7
"KVIHC28",1,1,1,1,1,,8
"KVIHC29",1,,,,1,,12
"KVIHC30",,,,,,,4
"KVIHC31",1,1,,1,1,,6
"KVIHC32",1,,1,,1,,12
"KVIHC33",1,1,,1,1,,8
"KVIHC34",1,1,,1,1,,7
"KVIHC35",1,,1,,1,,10
"KVIHC36",,1,,1,,,12
"KVIHK01",.75,,.5,,1,,8
"KVIHK02",1,,1,,1,,2
"KVIHK05",1,,1,,,,8
"KVIHK06",,,,,,,7
"KVIHK07",1,,1,,,,11
"KVIHK09",1,.3333333,,1,1,0,0
"KVIHK10",1,,1,,,,8
"KVIHK11",,,,,,,0
"KVIHK13",.6666667,,0,,1,,8
"KVIHK14",1,,1,,1,,10
"KVIHK15",1,1,,1,1,,4
"KVIHK16",1,,1,,1,,8
"KVIHK17",.6666667,1,.5,1,1,,0
"KVIHK18",,,,,,,6
"KVIHK19",,,,,,,
"KVIHK20",.5,1,0,1,1,,8
"KVIHK21",1,,1,,1,,12
"KVIHK22",1,,,,1,,7
"KVIHK23",,,,,,,8
"KVIHK24",1,1,1,1,,1,7
"KVIHK26",1,1,1,1,,,7
"KVIHK29",1,1,,1,1,1,4
"KVIHK30",1,,1,,,,12
"KVIHK31",1,1,1,1,1,1,4
"KVIHK32",1,1,1,,,1,10
"KVIHK33",1,1,1,1,,,7
"KVIHK34",1,1,1,,,1,7
"KVIHK36",1,1,1,1,1,,3
"KVIHK38",1,,1,,,,6
"KVIHK39",1,1,,,1,1,13
"KVIHK40",1,,,,1,,13
"KZIMA04",,1,,1,,,12
"KZIMA05",,,,,,,
"KZIMA08",,,,,,,12
